,champion,op_score
0,베인,56.01
1,징크스,53.72
2,진,53.35
3,루시안,52.59
4,이즈리얼,52.28
5,자야,52.14
6,직스,51.38
7,케이틀린,51.00
8,사미라,50.60
9,트위치,50.53
10,드레이븐,50.52
11,애쉬,49.09
12,스웨인,48.66
13,미스 포츈,48.62
14,야스오,48.38
15,시비르,47.38
16,트리스타나,46.74
17,코그모,46.51
18,제라스,46.07
19,칼리스타,45.43
20,바루스,45.04
21,카이사,43.91
22,아펠리오스,43.08
