,champion,op_score
0,베인,55.54
1,진,53.21
2,미스 포츈,51.75
3,직스,51.70
4,징크스,51.64
5,이즈리얼,51.17
6,애쉬,51.02
7,코그모,50.91
8,자야,50.82
9,케이틀린,50.74
10,시비르,50.68
11,야스오,50.11
12,트위치,49.94
13,사미라,49.68
14,제라스,48.82
15,드레이븐,48.45
16,트리스타나,48.02
17,루시안,47.53
18,카이사,46.17
19,세나,45.58
20,칼리스타,45.51
21,바루스,41.99
22,아펠리오스,40.33
